COMP_TYPE,COMP_LOC,YEAR,RACE_DATE,RACE_TEMP,RACE_HUMID,M_W,EVENT,STAGE,RACE_NB,ATHLETE_NAME,ATHLETE_COUNTRY,ATHLETE_AGE,100M,200M,300M,400M,500M,600M,700M,800M,900M,1000M,1100M,1200M,1300M,1400M,1500M,1600M,1700M,1800M,1900M,2000M,2100M,2200M,2300M,2400M,2500M,2600M,2700M,2800M,2900M,3000M,3100M,3200M,3300M,3400M,3500M,3600M,3700M,3800M,3900M,4000M,4100M,4200M,4300M,4400M,4500M,4600M,4700M,4800M,4900M,5000M,5100M,5200M,5300M,5400M,5500M,5600M,5700M,5800M,5900M,6000M,6100M,6200M,6300M,6400M,6500M,6600M,6700M,6800M,6900M,7000M,7100M,7200M,7300M,7400M,7500M,7600M,7700M,7800M,7900M,8000M,8100M,8200M,8300M,8400M,8500M,8600M,8700M,8800M,8900M,9000M,9100M,9200M,9300M,9400M,9500M,9600M,9700M,9800M,9900M,10000M
outdoor,,2025,13 September 2025,28,70,women,10000-metres,final,1.0,Beatrice CHEBET,KEN,26.0,17.51,36.57,55.98,1:16.21,1:36.24,1:54.75,2:14.84,2:34.78,2:53.36,3:11.62,3:29.81,3:48.15,4:06.68,4:24.79,4:43.22,5:01.58,5:19.87,5:37.75,5:56.26,6:14.67,6:33.06,6:51.09,7:09.52,7:28.21,7:46.86,8:05.51,8:24.21,8:43.38,9:02.15,9:20.60,9:39.22,9:58.32,10:17.08,10:35.70,10:54.31,11:12.03,11:28.88,11:46.60,12:04.85,12:22.54,12:40.36,12:58.46,13:16.64,13:33.41,13:50.05,14:07.12,14:24.25,14:41.35,14:58.90,15:16.33,15:33.68,15:52.00,16:10.22,16:28.70,16:47.37,17:05.97,17:23.48,17:41.94,18:00.85,18:18.74,18:36.67,18:54.95,19:14.05,19:31.54,19:49.95,20:09.15,20:30.10,20:49.94,21:09.76,21:28.65,21:47.57,22:07.03,22:26.83,22:46.66,23:07.46,23:28.26,23:47.72,24:07.33,24:27.23,24:47.05,25:06.92,25:26.13,25:45.40,26:04.63,26:23.97,26:43.11,27:02.76,27:21.96,27:42.37,27:59.01,28:14.65,28:30.20,28:46.60,29:03.20,29:20.39,29:37.52,29:54.23,30:10.40,30:24.15,30:37.61
outdoor,,2025,13 September 2025,28,70,women,10000-metres,final,1.0,Nadia BATTOCLETTI,ITA,25.0,17.50,36.66,56.42,1:16.30,1:36.46,1:54.94,2:14.97,2:34.78,2:53.35,3:11.36,3:29.49,3:48.14,4:06.47,4:24.45,4:42.89,5:01.15,5:19.36,5:37.58,5:56.14,6:14.52,6:32.94,6:50.92,7:09.33,7:27.98,7:46.67,8:05.33,8:23.91,8:43.04,9:01.94,9:20.36,9:39.11,9:58.09,10:16.89,10:35.50,10:54.02,11:12.10,11:29.30,11:47.02,12:05.25,12:22.98,12:40.68,12:58.80,13:17.01,13:34.29,13:50.87,14:07.92,14:24.92,14:42.16,14:59.69,15:17.13,15:34.57,15:52.41,16:10.65,16:29.19,16:47.80,17:06.43,17:23.86,17:42.37,18:01.30,18:19.28,18:37.37,18:55.60,19:14.70,19:32.40,19:50.52,20:09.80,20:30.17,20:50.20,21:10.08,21:28.77,21:47.69,22:07.06,22:26.72,22:46.50,23:07.26,23:28.08,23:47.76,24:07.29,24:27.14,24:46.88,25:06.73,25:25.98,25:45.14,26:04.52,26:23.79,26:43.02,27:02.41,27:21.85,27:41.55,27:59.29,28:15.05,28:30.70,28:46.98,29:03.55,29:20.70,29:37.79,29:54.54,30:10.52,30:24.30,30:38.23
outdoor,,2025,13 September 2025,28,70,women,10000-metres,final,1.0,Gudaf TSEGAY,ETH,29.0,18.34,37.64,57.42,1:16.59,1:36.83,1:55.42,2:15.36,2:35.34,2:54.07,3:12.15,3:30.37,3:48.73,4:07.13,4:25.16,4:43.63,5:01.76,5:20.20,5:38.35,5:56.97,6:15.23,6:33.67,6:51.82,7:10.20,7:29.02,7:47.65,8:06.20,8:25.15,8:44.13,9:03.06,9:21.57,9:40.28,9:59.25,10:18.13,10:36.12,10:54.88,11:12.56,11:29.47,11:47.29,12:05.49,12:23.21,12:40.92,12:59.03,13:17.37,13:33.86,13:50.49,14:07.56,14:24.59,14:41.73,14:59.36,15:16.75,15:34.12,15:52.15,16:10.43,16:28.96,16:47.59,17:06.18,17:23.66,17:42.17,18:01.03,18:19.07,18:37.12,18:55.43,19:14.48,19:32.23,19:50.29,20:09.59,20:29.87,20:49.88,21:09.96,21:28.90,21:47.74,22:07.27,22:26.99,22:46.88,23:07.77,23:28.60,23:48.08,24:07.75,24:27.55,24:47.43,25:07.19,25:26.52,25:45.76,26:04.93,26:24.31,26:43.48,27:03.05,27:22.17,27:41.94,27:58.92,28:14.38,28:30.15,28:46.51,29:03.04,29:20.21,29:37.36,29:54.02,30:10.29,30:25.13,30:39.65
outdoor,,2025,13 September 2025,28,70,women,10000-metres,final,1.0,Agnes Jebet NGETICH,KEN,25.0,17.55,36.60,55.79,1:16.09,1:36.21,1:54.67,2:14.59,2:34.47,2:52.99,3:11.14,3:29.23,3:47.87,4:06.18,4:24.22,4:42.73,5:01.02,5:19.18,5:37.35,5:55.86,6:14.23,6:32.66,6:50.68,7:09.14,7:27.82,7:46.37,8:05.05,8:23.74,8:43.08,9:01.65,9:20.13,9:38.91,9:57.92,10:16.58,10:35.23,10:53.81,11:11.85,11:28.72,11:46.37,12:04.64,12:22.38,12:40.13,12:58.24,13:16.50,13:33.60,13:50.16,14:07.34,14:24.36,14:41.57,14:59.05,15:16.52,15:33.82,15:51.91,16:09.98,16:28.49,16:47.16,17:05.76,17:23.33,17:41.71,18:00.67,18:18.93,18:36.86,18:55.15,19:14.33,19:31.91,19:50.05,20:09.35,20:29.73,20:49.84,21:09.77,21:28.42,21:47.38,22:06.84,22:26.51,22:46.37,23:07.26,23:27.95,23:47.56,24:07.18,24:27.03,24:46.82,25:06.71,25:25.92,25:45.05,26:04.43,26:23.79,26:42.94,27:02.54,27:21.73,27:41.58,27:59.14,28:14.91,28:30.55,28:46.83,29:03.40,29:20.54,29:37.65,29:54.37,30:10.43,30:25.66,30:42.66
outdoor,,2025,13 September 2025,28,70,women,10000-metres,final,1.0,Ejgayehu TAYE,ETH,26.0,18.63,38.04,58.29,1:18.70,1:38.51,1:57.50,2:16.80,2:36.49,2:55.85,3:14.25,3:32.31,3:49.96,4:08.80,4:26.70,4:45.21,5:03.39,5:22.01,5:40.23,5:58.48,6:16.81,6:35.32,6:53.36,7:11.64,7:30.41,7:49.13,8:07.20,8:26.33,8:44.65,9:03.99,9:22.18,9:40.82,9:59.68,10:18.50,10:36.98,10:55.81,11:13.49,11:30.23,11:47.87,12:06.27,12:23.73,12:41.36,12:59.36,13:17.92,13:34.58,13:51.18,14:08.15,14:25.22,14:42.24,14:59.82,15:17.27,15:34.81,15:52.62,16:10.69,16:29.39,16:47.98,17:06.57,17:24.05,17:42.65,18:01.44,18:19.45,18:37.60,18:55.87,19:14.98,19:32.56,19:50.74,20:10.04,20:30.48,20:50.19,21:09.55,21:28.24,21:47.15,22:06.54,22:26.75,22:46.67,23:07.58,23:28.19,23:47.91,24:07.52,24:27.40,24:47.17,25:07.01,25:26.28,25:45.52,26:04.77,26:24.05,26:43.27,27:02.70,27:22.10,27:41.89,28:00.04,28:16.69,28:33.73,28:51.04,29:08.65,29:26.81,29:45.33,30:03.68,30:21.62,30:39.13,30:55.52
outdoor,,2025,13 September 2025,28,70,women,10000-metres,final,1.0,Ririka HIRONAKA,JPN,25.0,17.85,36.71,56.42,1:16.66,1:36.74,1:55.22,2:15.27,2:34.21,2:52.73,3:10.93,3:28.97,3:47.70,4:05.97,4:24.02,4:42.40,5:00.89,5:18.93,5:37.13,5:55.67,6:14.04,6:32.43,6:50.49,7:08.98,7:27.62,7:46.23,8:04.85,8:23.55,8:42.66,9:01.49,9:19.91,9:38.63,9:57.76,10:16.40,10:35.04,10:53.61,11:12.37,11:29.68,11:47.45,12:05.77,12:24.05,12:42.29,13:01.82,13:20.87,13:39.80,13:58.59,14:17.43,14:36.60,14:55.81,15:15.10,15:34.59,15:53.16,16:12.18,16:31.01,16:49.91,17:08.88,17:27.91,17:46.39,18:05.01,18:23.53,18:42.34,19:01.10,19:19.78,19:38.40,19:57.37,20:16.52,20:35.69,20:54.73,21:14.00,21:33.10,21:51.93,22:11.07,22:29.95,22:48.88,23:07.47,23:26.16,23:45.29,24:04.50,24:23.30,24:42.57,25:01.71,25:20.98,25:40.43,25:59.62,26:18.75,26:37.44,26:55.87,27:14.76,27:33.76,27:52.56,28:11.51,28:30.51,28:49.27,29:07.72,29:26.12,29:44.81,30:02.93,30:20.87,30:37.52,30:53.77,31:09.62
outdoor,,2025,13 September 2025,28,70,women,10000-metres,final,1.0,Joy CHEPTOYEK,UGA,23.0,17.66,36.81,56.29,1:16.58,1:36.74,1:55.65,2:15.43,2:35.47,2:53.98,3:12.38,3:30.66,3:49.01,4:07.34,4:25.35,4:43.84,5:02.02,5:20.45,5:38.51,5:57.12,6:15.48,6:33.93,6:52.03,7:10.50,7:29.10,7:47.87,8:06.41,8:25.38,8:44.22,9:02.99,9:21.49,9:41.32,9:59.35,10:18.25,10:36.82,10:55.62,11:12.56,11:29.88,11:47.74,12:05.99,12:23.40,12:41.11,12:59.28,13:17.62,13:34.72,13:51.98,14:09.97,14:28.21,14:46.77,15:05.31,15:24.04,15:42.59,16:01.57,16:20.10,16:39.12,16:57.97,17:16.84,17:35.50,17:54.61,18:13.85,18:32.95,18:51.79,19:10.76,19:29.58,19:49.15,20:08.39,20:27.52,20:46.54,21:05.67,21:24.66,21:43.89,22:02.97,22:22.06,22:40.91,23:00.16,23:19.18,23:38.66,23:57.63,24:16.86,24:36.06,24:55.57,25:14.51,25:33.78,25:53.41,26:13.21,26:32.04,26:51.00,27:10.00,27:28.95,27:48.01,28:07.40,28:26.52,28:46.04,29:05.60,29:25.33,29:43.63,30:02.73,30:21.10,30:39.11,30:57.23,31:15.03
outdoor,,2025,13 September 2025,28,70,women,10000-metres,final,1.0,Fotyen TESFAY,ETH,28.0,18.60,37.10,56.15,1:16.45,1:36.37,1:54.95,2:15.18,2:35.05,2:53.55,3:11.83,3:30.05,3:48.55,4:06.82,4:24.97,4:43.29,5:01.63,5:19.99,5:37.95,5:56.47,6:14.76,6:33.22,6:51.30,7:09.67,7:28.45,7:47.09,8:05.63,8:24.40,8:43.84,9:02.32,9:20.82,9:39.47,9:57.99,10:17.26,10:35.95,10:54.49,11:12.20,11:29.04,11:46.80,12:05.06,12:22.81,12:40.49,12:58.65,13:16.89,13:34.07,13:50.62,14:07.78,14:24.81,14:41.98,14:59.42,15:16.92,15:34.35,15:52.49,16:11.06,16:29.49,16:48.14,17:06.22,17:24.96,17:43.58,18:02.81,18:22.10,18:41.49,19:01.19,19:20.99,19:41.42,20:01.06,20:21.13,20:41.02,21:01.09,21:20.74,21:40.69,22:00.51,22:20.10,22:39.34,22:59.27,23:18.89,23:38.43,23:57.84,24:16.97,24:36.20,24:55.42,25:14.23,25:33.60,25:53.18,26:13.06,26:32.31,26:51.15,27:10.27,27:29.10,27:48.21,28:07.14,28:26.85,28:46.04,29:05.34,29:25.16,29:44.21,30:03.82,30:23.46,30:42.84,31:02.63,31:21.67
outdoor,,2025,13 September 2025,28,70,women,10000-metres,final,1.0,Lauren RYAN,AUS,27.0,17.69,36.78,56.44,1:16.43,1:36.69,1:55.10,2:15.15,2:34.99,2:53.63,3:11.66,3:29.77,3:48.39,4:06.72,4:24.69,4:43.17,5:01.38,5:19.68,5:37.79,5:56.44,6:14.64,6:33.23,6:51.26,7:09.65,7:28.38,7:47.23,8:05.75,8:24.60,8:43.87,9:02.56,9:20.96,9:39.70,9:58.74,10:17.47,10:36.08,10:54.73,11:12.85,11:30.31,11:48.28,12:06.74,12:24.68,12:42.50,13:00.71,13:19.35,13:38.42,13:57.63,14:17.09,14:36.40,14:55.78,15:15.02,15:34.09,15:53.02,16:12.11,16:31.29,16:50.38,17:09.19,17:28.42,17:46.93,18:05.98,18:25.16,18:44.62,19:03.55,19:22.68,19:41.84,20:01.07,20:20.32,20:39.94,20:59.90,21:19.17,21:38.14,21:57.19,22:16.33,22:35.62,22:54.98,23:13.91,23:33.26,23:52.54,24:12.39,24:32.12,24:51.48,25:11.08,25:30.41,25:49.90,26:09.50,26:29.16,26:48.39,27:07.46,27:26.97,27:46.46,28:05.87,28:25.29,28:44.61,29:03.94,29:22.81,29:41.45,30:00.24,30:18.78,30:36.90,30:54.51,31:11.38,31:27.78
outdoor,,2025,13 September 2025,28,70,women,10000-metres,final,1.0,Megan KEITH,GBR,23.0,17.93,37.21,56.97,1:17.26,1:37.15,1:56.09,2:15.66,2:35.37,2:54.55,3:12.62,3:30.94,3:49.36,4:08.01,4:26.20,4:44.55,5:02.93,5:21.43,5:39.46,5:58.12,6:16.51,6:35.20,6:53.14,7:11.33,7:29.94,7:48.56,8:06.88,8:25.93,8:44.92,9:04.04,9:22.55,9:41.25,9:59.91,10:18.61,10:37.08,10:56.05,11:15.11,11:32.36,11:50.55,12:09.39,12:28.18,12:46.94,13:05.58,13:24.47,13:42.72,14:01.11,14:19.68,14:38.41,14:57.11,15:15.84,15:34.72,15:53.73,16:12.78,16:31.85,16:51.08,17:10.02,17:28.94,17:47.63,18:06.33,18:25.33,18:44.31,19:03.17,19:22.15,19:41.24,20:00.63,20:20.14,20:39.78,20:59.68,21:18.88,21:37.93,21:56.97,22:16.17,22:35.51,22:54.82,23:14.12,23:33.48,23:53.14,24:12.65,24:32.31,24:51.67,25:10.95,25:30.18,25:49.67,26:09.26,26:28.90,26:48.20,27:07.72,27:27.17,27:46.84,28:06.17,28:25.53,28:44.90,29:04.40,29:23.67,29:42.46,30:01.75,30:21.01,30:39.64,30:58.09,31:16.26,31:33.85
