COMP_TYPE,COMP_LOC,YEAR,RACE_DATE,RACE_TEMP,RACE_HUMID,M_W,EVENT,STAGE,RACE_NB,ATHLETE_NAME,ATHLETE_COUNTRY,ATHLETE_AGE,100M,200M,300M,400M,500M,600M,700M,800M,900M,1000M,1100M,1200M,1300M,1400M,1500M
outdoor,Budapest (HUN),2023,19 August 2023,26,65,women,1500-metres,heats,1.0,Sifan HASSAN,NED,31.0,16.86,34.02,50.29,1:07.22,1:24.26,1:41.57,1:58.24,2:15.23,2:31.30,2:47.84,3:03.70,3:18.99,3:33.19,3:48.09,4:02.92
outdoor,Budapest (HUN),2023,19 August 2023,26,65,women,1500-metres,heats,1.0,Laura MUIR,GBR,30.0,16.67,35.39,49.28,1:06.38,1:23.36,1:40.15,1:57.13,2:13.76,2:30.00,2:46.75,3:02.53,3:18.27,3:33.07,3:48.27,4:03.50
outdoor,Budapest (HUN),2023,19 August 2023,26,65,women,1500-metres,heats,1.0,Nikki HILTZ,USA,29.0,15.95,32.87,49.34,1:06.38,1:23.56,1:40.48,1:57.21,2:14.11,2:30.49,2:46.74,3:02.93,3:18.62,3:33.54,3:48.57,4:03.76
outdoor,Budapest (HUN),2023,19 August 2023,26,65,women,1500-metres,heats,1.0,Edinah JEBITOK,KEN,22.0,16.28,33.30,49.50,1:06.57,1:23.55,1:40.46,1:57.28,2:13.91,2:30.24,2:46.56,3:02.65,3:18.42,3:33.20,3:48.36,4:04.09
outdoor,Budapest (HUN),2023,19 August 2023,26,65,women,1500-metres,heats,1.0,Abbey CALDWELL,AUS,22.0,16.09,32.94,49.62,1:06.55,1:23.68,1:40.81,1:57.45,2:14.24,2:30.59,2:47.21,3:03.16,3:18.87,3:33.75,3:48.91,4:04.16
outdoor,Budapest (HUN),2023,19 August 2023,26,65,women,1500-metres,heats,1.0,Nozomi TANAKA,JPN,24.0,15.60,32.19,48.84,1:06.01,1:23.36,1:40.41,1:57.08,2:13.98,2:30.09,2:46.56,3:02.44,3:18.16,3:33.08,3:48.36,4:04.36
outdoor,Budapest (HUN),2023,19 August 2023,26,65,women,1500-metres,heats,1.0,Lucia STAFFORD,CAN,25.0,16.12,33.18,49.50,1:06.68,1:23.72,1:40.78,1:57.40,2:14.34,2:30.41,2:46.75,3:02.70,3:18.39,3:33.68,3:48.83,4:05.21
outdoor,Budapest (HUN),2023,19 August 2023,26,65,women,1500-metres,heats,1.0,Alma Delia CORTES,MEX,26.0,15.90,33.15,49.38,1:06.26,1:23.51,1:40.63,1:57.31,2:14.11,2:30.73,2:47.23,3:03.59,3:19.03,3:34.56,3:51.62,4:06.03
outdoor,Budapest (HUN),2023,19 August 2023,26,65,women,1500-metres,heats,1.0,Claudia Mihaela BOBOCEA,ROU,31.0,15.71,32.56,48.99,1:06.02,1:23.10,1:40.10,1:56.83,2:13.68,2:29.99,2:46.45,3:02.85,3:18.81,3:34.40,3:50.27,4:06.07
outdoor,Budapest (HUN),2023,19 August 2023,26,65,women,1500-metres,heats,1.0,Sofia ENNAOUI,POL,28.0,15.78,32.70,50.01,1:06.12,1:23.25,1:40.28,1:56.87,2:13.82,2:30.34,2:47.07,3:03.72,3:19.27,3:34.79,3:50.80,4:06.47
