COMP_TYPE,COMP_LOC,YEAR,RACE_DATE,RACE_TEMP,RACE_HUMID,M_W,EVENT,STAGE,RACE_NB,ATHLETE_NAME,ATHLETE_COUNTRY,ATHLETE_AGE,100M,200M,300M,400M,500M,600M,700M,800M,900M,1000M,1100M,1200M,1300M,1400M,1500M,1600M,1700M,1800M,1900M,2000M,2100M,2200M,2300M,2400M,2500M,2600M,2700M,2800M,2900M,3000M
outdoor,Budapest (HUN),2023,19 August 2023,21,94,men,3000-metres-steeplechase,heats,1.0,Getnet WALE,ETH,23.0,16.19,33.59,50.74,1:07.96,1:25.20,1:42.82,2:00.42,2:17.94,2:35.47,2:53.00,3:10.75,3:29.15,3:46.67,4:04.35,4:21.28,4:37.50,4:54.11,5:10.65,5:26.93,5:43.41,6:00.22,6:16.10,6:32.70,6:48.77,7:05.00,7:20.13,7:35.06,7:49.65,8:05.30,8:19.99
outdoor,Budapest (HUN),2023,19 August 2023,21,94,men,3000-metres-steeplechase,heats,1.0,Jean-Simon DESGAGNÉS,CAN,25.0,16.61,34.14,51.68,1:09.05,1:26.11,1:43.79,2:01.07,2:18.74,2:36.30,2:53.65,3:11.46,3:29.26,3:46.95,4:04.38,4:21.69,4:37.94,4:54.75,5:10.92,5:27.56,5:43.62,6:00.24,6:16.42,6:33.36,6:49.36,7:05.49,7:21.12,7:36.00,7:50.64,8:05.93,8:20.04
outdoor,Budapest (HUN),2023,19 August 2023,21,94,men,3000-metres-steeplechase,heats,1.0,Simon Kiprop KOECH,KEN,20.0,16.82,34.43,51.25,1:08.55,1:25.65,1:43.27,2:00.86,2:18.38,2:35.61,2:53.37,3:11.04,3:29.35,3:47.23,4:04.87,4:20.03,4:37.62,4:54.27,5:10.55,5:26.87,5:43.12,5:59.57,6:16.06,6:32.88,6:48.72,7:05.29,7:20.19,7:35.27,7:50.33,8:05.38,8:20.29
outdoor,Budapest (HUN),2023,19 August 2023,21,94,men,3000-metres-steeplechase,heats,1.0,Daniel ARCE,ESP,31.0,17.14,34.60,52.00,1:09.51,1:26.51,1:43.69,2:01.78,2:18.96,2:36.45,2:53.62,3:11.39,3:29.64,3:47.33,4:07.32,4:22.10,4:38.73,4:55.07,5:11.26,5:28.19,5:44.13,6:00.46,6:16.60,6:33.25,6:48.98,7:05.18,7:20.35,7:35.58,7:50.27,8:05.82,8:20.46
outdoor,Budapest (HUN),2023,19 August 2023,21,94,men,3000-metres-steeplechase,heats,1.0,Ryoma AOKI,JPN,26.0,16.77,33.97,51.42,1:08.85,1:25.94,1:43.21,2:01.18,2:18.92,2:36.47,2:53.79,3:11.71,3:29.95,3:47.41,4:05.37,4:21.96,4:38.46,4:55.21,5:11.97,5:28.00,5:44.06,6:00.22,6:16.51,6:32.98,6:49.03,7:05.39,7:20.97,7:36.34,7:51.27,8:06.66,8:20.54
outdoor,Budapest (HUN),2023,19 August 2023,21,94,men,3000-metres-steeplechase,heats,1.0,Mohamed TINDOUFT,MAR,30.0,17.37,34.89,51.89,1:09.27,1:26.47,1:43.34,2:01.41,2:19.12,2:36.17,2:53.43,3:11.44,3:29.76,3:47.64,4:07.47,4:22.20,4:38.83,4:55.45,5:11.22,5:27.75,5:43.96,6:00.69,6:16.52,6:33.08,6:49.39,7:06.08,7:20.45,7:35.15,7:50.03,8:06.07,8:20.67
outdoor,Budapest (HUN),2023,19 August 2023,21,94,men,3000-metres-steeplechase,heats,1.0,Avinash Mukund SABLE,IND,29.0,16.65,33.81,50.94,1:08.08,1:25.30,1:43.01,2:00.53,2:18.14,2:35.66,2:53.38,3:11.26,3:29.60,3:47.46,4:05.29,4:21.60,4:38.14,4:54.36,5:10.78,5:27.22,5:43.44,6:00.53,6:16.13,6:32.43,6:49.00,7:05.28,7:20.78,7:35.68,7:50.31,8:06.41,8:22.24
outdoor,Budapest (HUN),2023,19 August 2023,21,94,men,3000-metres-steeplechase,heats,1.0,Benard KETER,USA,31.0,17.76,35.25,52.59,1:10.10,1:26.87,1:43.85,2:01.29,2:18.71,2:36.03,2:53.95,3:11.73,3:29.51,3:46.78,4:04.54,4:21.43,4:37.83,4:54.29,5:11.44,5:27.30,5:43.48,5:59.95,6:16.29,6:33.04,6:49.06,7:05.23,7:20.56,7:35.94,7:51.28,8:07.65,8:24.20
outdoor,Budapest (HUN),2023,19 August 2023,21,94,men,3000-metres-steeplechase,heats,1.0,Vidar JOHANSSON,SWE,27.0,16.56,33.91,51.11,1:08.45,1:25.63,1:43.01,2:00.77,2:18.50,2:35.92,2:53.28,3:11.06,3:29.45,3:47.06,4:05.26,4:21.55,4:38.34,4:54.99,5:11.06,5:27.94,5:44.31,6:00.81,6:17.12,6:33.70,6:50.03,7:06.66,7:22.68,7:38.54,7:54.48,8:11.02,8:27.21
outdoor,Budapest (HUN),2023,19 August 2023,21,94,men,3000-metres-steeplechase,heats,1.0,Ahmed JAZIRI,TUN,26.0,17.02,34.36,51.58,1:09.00,1:26.33,1:43.52,2:01.56,2:19.22,2:36.67,2:53.86,3:11.83,3:30.01,3:47.69,4:05.57,4:22.25,4:38.41,4:55.06,5:11.26,5:28.12,5:43.66,5:59.93,6:16.36,6:33.26,6:49.36,7:05.69,7:21.10,7:36.49,7:51.60,8:09.29,8:29.81
outdoor,Budapest (HUN),2023,19 August 2023,21,94,men,3000-metres-steeplechase,heats,1.0,Topi RAITANEN,FIN,28.0,17.25,34.71,52.29,1:09.96,1:26.89,1:44.38,2:02.13,2:19.65,2:37.29,2:54.60,3:12.15,3:30.37,3:48.19,4:05.80,4:22.90,4:39.34,4:56.02,5:12.09,5:28.80,5:45.00,6:01.73,6:18.08,6:34.68,6:51.28,7:08.36,7:24.45,7:40.69,7:56.65,8:13.93,8:30.69
outdoor,Budapest (HUN),2023,19 August 2023,21,94,men,3000-metres-steeplechase,heats,1.0,Matthew CLARKE,AUS,28.0,16.28,33.67,50.88,1:08.19,1:25.40,1:42.91,2:00.67,2:18.19,2:35.56,2:53.24,3:10.82,3:29.17,3:47.14,4:04.69,4:21.49,4:38.12,4:54.89,5:11.12,5:27.61,5:44.21,6:01.40,6:17.60,6:34.53,6:51.92,7:09.62,7:26.88,7:44.46,8:02.75,8:22.51,8:40.92
outdoor,Budapest (HUN),2023,19 August 2023,22,88,men,3000-metres-steeplechase,heats,2.0,Kenneth ROOKS,USA,24.0,17.10,35.02,52.53,1:10.02,1:27.48,1:45.52,2:03.53,2:20.69,2:38.04,2:55.39,3:13.11,3:30.43,3:47.02,4:03.86,4:21.16,4:38.01,4:55.49,5:12.07,5:28.97,5:45.83,6:01.87,6:18.11,6:34.85,6:51.23,7:07.75,7:23.03,7:38.07,7:53.30,8:09.00,8:23.66
outdoor,Budapest (HUN),2023,19 August 2023,22,88,men,3000-metres-steeplechase,heats,2.0,Soufiane EL BAKKALI,MAR,28.0,17.91,35.83,53.45,1:10.76,1:28.39,1:46.48,2:04.05,2:21.24,2:38.19,2:55.75,3:12.71,3:29.92,3:46.49,4:03.55,4:20.53,4:37.24,4:54.43,5:11.34,5:28.48,5:45.11,6:01.49,6:18.00,6:34.31,6:50.58,7:07.08,7:22.54,7:37.84,7:53.20,8:08.89,8:23.66
outdoor,Budapest (HUN),2023,19 August 2023,22,88,men,3000-metres-steeplechase,heats,2.0,Mohamed Amin JHINAOUI,TUN,26.0,17.29,36.20,52.99,1:10.35,1:28.08,1:46.08,2:03.93,2:20.98,2:38.59,2:55.77,3:12.98,3:30.18,3:46.72,4:04.94,4:20.94,4:37.53,4:54.72,5:12.98,5:28.41,5:45.29,6:01.70,6:19.84,6:34.63,6:51.13,7:07.74,7:23.00,7:38.29,7:53.80,8:09.75,8:24.20
outdoor,Budapest (HUN),2023,19 August 2023,22,88,men,3000-metres-steeplechase,heats,2.0,Abraham KIBIWOT,KEN,27.0,16.87,34.65,52.06,1:09.18,1:27.08,1:45.18,2:02.60,2:19.58,2:37.11,2:54.80,3:12.25,3:29.39,3:46.07,4:03.44,4:20.24,4:37.21,4:54.50,5:11.36,5:28.35,5:45.07,6:01.29,6:17.90,6:34.29,6:50.57,7:07.14,7:22.76,7:38.01,7:53.28,8:09.26,8:24.31
outdoor,Budapest (HUN),2023,19 August 2023,22,88,men,3000-metres-steeplechase,heats,2.0,Leonard CHEMUTAI,UGA,20.0,17.64,36.09,52.85,1:10.28,1:27.82,1:45.96,2:03.79,2:20.90,2:38.27,2:55.58,3:13.15,3:30.03,3:46.75,4:03.65,4:20.83,4:37.60,4:54.92,5:13.92,5:28.72,5:45.35,6:01.74,6:18.41,6:34.58,6:50.95,7:07.61,7:23.01,7:38.69,7:53.65,8:09.49,8:24.74
outdoor,Budapest (HUN),2023,19 August 2023,22,88,men,3000-metres-steeplechase,heats,2.0,Nahuel CARABAÑA,AND,24.0,17.69,35.43,53.17,1:10.18,1:27.93,1:45.96,2:03.48,2:20.54,2:37.93,2:55.71,3:12.52,3:29.73,3:46.38,4:04.08,4:20.84,4:37.94,4:55.27,5:13.22,5:28.86,5:45.93,6:02.37,6:18.26,6:34.84,6:51.50,7:08.02,7:23.48,7:38.91,7:54.90,8:10.57,8:27.05
outdoor,Budapest (HUN),2023,19 August 2023,22,88,men,3000-metres-steeplechase,heats,2.0,István PALKOVITS,HUN,23.0,17.81,35.67,53.27,1:10.63,1:28.44,1:46.59,2:04.37,2:21.66,2:38.95,2:58.55,3:13.47,3:29.81,3:46.31,4:03.35,4:20.61,4:37.75,4:55.11,5:13.53,5:29.37,5:44.81,6:01.52,6:18.04,6:34.35,6:51.00,7:07.87,7:24.25,7:40.34,7:56.40,8:13.50,8:29.37
