COMP_TYPE,COMP_LOC,YEAR,RACE_DATE,RACE_TEMP,RACE_HUMID,M_W,EVENT,STAGE,RACE_NB,ATHLETE_NAME,ATHLETE_COUNTRY,ATHLETE_AGE,100M,200M,300M,400M,500M,600M,700M,800M,900M,1000M,1100M,1200M,1300M,1400M,1500M,1600M,1700M,1800M,1900M,2000M,2100M,2200M,2300M,2400M,2500M,2600M,2700M,2800M,2900M,3000M
indoor,,2025,22 March 2025,,,women,3000-metres,final,1.0,Freweyni HAILU,ETH,24.0,18.24,36.26,53.27,1:10.81,1:28.08,1:45.24,2:02.46,2:20.53,2:37.97,2:55.73,3:13.67,3:31.41,3:48.56,4:06.37,4:23.88,4:42.48,5:00.30,5:18.77,5:36.98,5:55.44,6:12.73,6:29.98,6:47.03,7:04.63,7:21.20,7:38.14,7:53.54,8:08.51,8:22.42,8:37.21
indoor,,2025,22 March 2025,,,women,3000-metres,final,1.0,Shelby HOULIHAN,USA,32.0,17.35,34.97,51.87,1:09.42,1:26.35,1:43.62,2:00.97,2:18.78,2:36.29,2:54.24,3:11.82,3:29.80,3:47.56,4:05.88,4:23.39,4:41.78,4:59.81,5:18.36,5:36.39,5:54.94,6:12.20,6:29.58,6:46.65,7:04.16,7:21.08,7:38.17,7:53.68,8:09.07,8:23.41,8:38.26
indoor,,2025,22 March 2025,,,women,3000-metres,final,1.0,Jessica HULL,AUS,28.0,17.13,34.23,51.22,1:08.77,1:25.68,1:43.11,2:00.40,2:18.34,2:35.76,2:53.80,3:11.22,3:29.20,3:47.23,4:05.51,4:22.99,4:41.50,4:59.39,5:18.18,5:36.16,5:54.63,6:11.86,6:29.43,6:46.28,7:03.85,7:20.78,7:38.13,7:53.40,8:08.70,8:23.21,8:38.28
indoor,,2025,22 March 2025,,,women,3000-metres,final,1.0,Whittni MORGAN,USA,27.0,17.28,34.73,51.65,1:09.30,1:26.20,1:43.50,2:00.92,2:19.26,2:36.21,2:54.10,3:11.70,3:29.65,3:47.46,4:05.76,4:23.24,4:41.69,4:59.72,5:18.31,5:36.29,5:54.85,6:12.11,6:29.47,6:46.50,7:03.87,7:20.99,7:38.23,7:54.25,8:09.44,8:23.81,8:39.18
indoor,,2025,22 March 2025,,,women,3000-metres,final,1.0,Birke HAYLOM,ETH,19.0,17.51,35.20,52.28,1:09.77,1:26.72,1:43.99,2:01.22,2:19.10,2:36.55,2:54.60,3:12.29,3:30.20,3:48.12,4:06.28,4:23.91,4:42.33,5:00.43,5:18.83,5:37.11,5:55.69,6:12.86,6:30.15,6:47.17,7:04.70,7:21.50,7:38.32,7:53.99,8:09.22,8:24.08,8:39.28
indoor,,2025,22 March 2025,,,women,3000-metres,final,1.0,Sarah HEALY,IRL,24.0,17.48,35.12,52.06,1:09.56,1:26.41,1:43.78,2:01.07,2:19.41,2:36.30,2:54.38,3:11.87,3:29.85,3:47.58,4:05.92,4:23.47,4:41.93,4:59.86,5:18.54,5:36.48,5:55.07,6:12.23,6:29.67,6:46.64,7:04.23,7:21.07,7:38.35,7:54.30,8:09.80,8:24.78,8:40.00
indoor,,2025,22 March 2025,,,women,3000-metres,final,1.0,Marta GARCÍA,ESP,27.0,17.63,35.67,52.85,1:10.29,1:27.09,1:44.38,2:01.67,2:19.52,2:37.01,2:54.55,3:12.05,3:30.05,3:47.80,4:06.10,4:23.67,4:42.11,5:00.10,5:18.61,5:36.68,5:55.22,6:12.49,6:29.79,6:46.84,7:04.40,7:21.29,7:38.59,7:54.61,8:10.13,8:25.08,8:40.80
indoor,,2025,22 March 2025,,,women,3000-metres,final,1.0,Purity Kajuju GITONGA,KEN,29.0,17.53,35.42,52.46,1:10.03,1:26.96,1:44.26,2:01.94,2:19.85,2:37.28,2:55.29,3:12.91,3:30.92,3:48.44,4:06.75,4:24.37,4:42.86,5:00.83,5:19.03,5:37.45,5:56.09,6:13.24,6:30.41,6:47.38,7:04.84,7:21.65,7:38.66,7:55.09,8:11.48,8:27.58,8:44.56
indoor,,2025,22 March 2025,,,women,3000-metres,final,1.0,Linden HALL,AUS,34.0,17.62,35.57,52.66,1:10.10,1:27.30,1:44.22,2:01.55,2:19.35,2:36.80,2:55.06,3:12.62,3:30.54,3:48.15,4:06.37,4:24.10,4:42.65,5:00.61,5:18.94,5:37.19,5:55.87,6:13.40,6:30.93,6:48.04,7:05.31,7:22.45,7:39.73,7:56.28,8:12.89,8:29.04,8:44.99
indoor,,2025,22 March 2025,,,women,3000-metres,final,1.0,Nozomi TANAKA,JPN,26.0,17.29,34.49,51.49,1:09.05,1:25.82,1:43.30,2:00.55,2:18.46,2:35.90,2:54.07,3:11.43,3:29.47,3:47.13,4:05.42,4:22.83,4:41.25,4:59.25,5:18.00,5:35.91,5:54.49,6:11.74,6:29.12,6:46.21,7:03.71,7:20.67,7:38.33,7:55.79,8:13.54,8:30.27,8:47.93
