COMP_TYPE,COMP_LOC,YEAR,RACE_DATE,RACE_TEMP,RACE_HUMID,M_W,EVENT,STAGE,RACE_NB,ATHLETE_NAME,ATHLETE_COUNTRY,ATHLETE_AGE,100M,200M,300M,400M,500M,600M,700M,800M,900M,1000M,1100M,1200M,1300M,1400M,1500M,1600M,1700M,1800M,1900M,2000M,2100M,2200M,2300M,2400M,2500M,2600M,2700M,2800M,2900M,3000M,3100M,3200M,3300M,3400M,3500M,3600M,3700M,3800M,3900M,4000M,4100M,4200M,4300M,4400M,4500M,4600M,4700M,4800M,4900M,5000M
outdoor,,2025,18 September 2025,31,63,women,5000-metres,heats,1.0,Beatrice CHEBET,KEN,26.0,17.07,35.42,52.84,1:10.56,1:28.54,1:46.11,2:03.64,2:21.77,2:39.95,2:57.84,3:15.74,3:33.76,3:51.96,4:10.17,4:28.26,4:46.66,5:04.94,5:23.24,5:41.65,6:00.38,6:18.84,6:37.40,6:55.69,7:14.37,7:33.09,7:51.75,8:08.12,8:24.05,8:40.83,8:57.35,9:15.23,9:33.41,9:51.92,10:10.50,10:27.43,10:44.13,11:00.93,11:17.77,11:35.82,11:54.03,12:12.73,12:31.29,12:48.92,13:06.36,13:24.14,13:41.15,13:57.75,14:13.98,14:30.15,14:45.59
outdoor,,2025,18 September 2025,31,63,women,5000-metres,heats,1.0,Nadia BATTOCLETTI,ITA,25.0,16.73,34.33,52.61,1:10.36,1:28.36,1:45.90,2:03.44,2:21.58,2:39.69,2:57.60,3:15.49,3:33.58,3:51.80,4:09.98,4:28.06,4:46.49,5:04.66,5:23.04,5:41.50,6:00.14,6:18.70,6:37.16,6:55.49,7:14.24,7:32.99,7:51.53,8:08.35,8:24.29,8:41.11,8:57.52,9:15.44,9:33.61,9:52.17,10:10.76,10:27.64,10:44.38,11:01.21,11:17.96,11:36.02,11:54.26,12:12.91,12:31.36,12:49.03,13:06.46,13:24.21,13:41.20,13:57.88,14:14.23,14:30.48,14:46.36
outdoor,,2025,18 September 2025,31,63,women,5000-metres,heats,1.0,Shelby HOULIHAN,USA,33.0,16.85,34.68,53.43,1:11.31,1:29.63,1:47.65,2:05.13,2:22.61,2:40.71,2:58.47,3:16.54,3:34.55,3:52.78,4:10.90,4:29.01,4:47.16,5:05.82,5:24.01,5:42.27,6:00.91,6:19.50,6:37.90,6:56.21,7:14.82,7:33.49,7:52.10,8:09.17,8:25.66,8:42.41,8:59.05,9:16.03,9:34.27,9:52.84,10:11.30,10:28.40,10:45.27,11:02.11,11:19.08,11:36.56,11:54.67,12:13.20,12:31.47,12:49.35,13:06.80,13:24.59,13:41.57,13:58.20,14:14.66,14:30.69,14:46.52
outdoor,,2025,18 September 2025,31,63,women,5000-metres,heats,1.0,Maureen KOSTER,NED,33.0,17.26,34.44,53.16,1:11.03,1:29.36,1:47.06,2:04.81,2:23.01,2:41.24,2:58.76,3:16.89,3:35.21,3:53.11,4:10.52,4:28.58,4:46.81,5:05.17,5:23.47,5:41.89,6:00.62,6:19.10,6:37.57,6:55.90,7:14.60,7:33.38,7:51.79,8:08.87,8:25.45,8:42.23,8:59.07,9:16.26,9:34.51,9:53.01,10:11.52,10:28.84,10:45.72,11:02.83,11:19.83,11:36.80,11:54.90,12:13.23,12:31.07,12:48.81,13:06.22,13:24.03,13:40.99,13:57.60,14:13.86,14:30.39,14:46.57
outdoor,,2025,18 September 2025,31,63,women,5000-metres,heats,1.0,Nozomi TANAKA,JPN,26.0,16.44,34.10,52.35,1:10.23,1:28.03,1:45.74,2:03.22,2:21.42,2:39.38,2:57.45,3:15.37,3:33.41,3:51.55,4:09.85,4:27.90,4:46.26,5:04.50,5:22.91,5:41.31,5:59.98,6:18.49,6:37.06,6:55.46,7:14.08,7:32.83,7:51.32,8:07.59,8:23.87,8:40.71,8:57.16,9:15.05,9:33.21,9:51.70,10:10.29,10:27.24,10:43.94,11:00.77,11:17.59,11:35.63,11:53.82,12:12.50,12:31.01,12:48.56,13:05.99,13:23.78,13:40.82,13:57.39,14:13.99,14:30.62,14:47.14
outdoor,,2025,18 September 2025,31,63,women,5000-metres,heats,1.0,Fantaye BELAYNEH,ETH,25.0,17.57,35.68,53.40,1:11.38,1:29.75,1:47.04,2:04.67,2:22.82,2:41.16,2:58.66,3:16.72,3:34.96,3:53.17,4:11.45,4:29.38,4:47.70,5:06.32,5:24.46,5:42.87,6:01.46,6:20.01,6:38.50,6:56.75,7:15.25,7:34.29,7:52.85,8:10.30,8:26.32,8:42.67,8:58.64,9:15.85,9:34.05,9:52.65,10:11.22,10:28.14,10:44.68,11:01.45,11:18.28,11:36.27,11:54.49,12:13.23,12:31.52,12:49.40,13:06.67,13:24.48,13:41.61,13:58.07,14:14.36,14:30.76,14:47.46
outdoor,,2025,18 September 2025,31,63,women,5000-metres,heats,1.0,Hannah NUTTALL,GBR,28.0,17.01,34.89,53.68,1:11.58,1:29.99,1:47.90,2:05.20,2:23.35,2:41.50,2:59.18,3:17.36,3:35.78,3:53.84,4:11.95,4:30.01,4:48.18,5:06.85,5:25.08,5:43.52,6:01.93,6:20.54,6:39.01,6:57.15,7:15.46,7:34.11,7:52.54,8:10.08,8:26.76,8:43.65,9:00.35,9:17.48,9:34.99,9:53.33,10:11.86,10:29.45,10:46.43,11:03.81,11:21.31,11:38.53,11:56.00,12:13.74,12:31.85,12:49.92,13:07.37,13:24.99,13:41.98,13:58.30,14:14.80,14:31.13,14:48.09
outdoor,,2025,18 September 2025,31,63,women,5000-metres,heats,1.0,Joy CHEPTOYEK,UGA,23.0,16.81,34.46,53.10,1:10.70,1:28.76,1:46.35,2:03.83,2:22.04,2:40.15,2:58.08,3:15.94,3:33.99,3:52.21,4:10.38,4:28.49,4:46.93,5:05.35,5:23.68,5:42.07,6:00.78,6:19.23,6:37.66,6:56.03,7:14.40,7:33.26,7:51.90,8:08.43,8:24.59,8:41.32,8:57.97,9:15.65,9:33.85,9:52.38,10:11.01,10:27.92,10:44.82,11:01.83,11:19.01,11:36.53,11:54.82,12:13.44,12:31.59,12:49.18,13:06.63,13:24.34,13:41.47,13:58.09,14:15.15,14:33.62,14:51.17
outdoor,,2025,18 September 2025,31,63,women,5000-metres,heats,1.0,Birke HAYLOM,ETH,20.0,17.21,35.15,54.13,1:12.11,1:30.49,1:48.06,2:05.36,2:22.77,2:41.10,2:58.67,3:16.71,3:34.73,3:52.84,4:11.08,4:29.23,4:47.48,5:05.98,5:24.30,5:42.61,6:01.25,6:19.76,6:38.27,6:56.52,7:15.08,7:34.02,7:52.72,8:10.01,8:26.45,8:42.85,8:58.88,9:16.02,9:34.21,9:52.77,10:11.42,10:28.37,10:45.15,11:02.12,11:19.56,11:37.26,11:55.28,12:13.51,12:31.57,12:49.66,13:07.55,13:25.90,13:44.23,14:01.91,14:19.86,14:36.95,14:53.49
outdoor,,2025,18 September 2025,31,63,women,5000-metres,heats,1.0,Elise CRANNY,USA,29.0,16.30,34.25,52.83,1:10.83,1:29.12,1:46.64,2:04.28,2:22.45,2:40.62,2:58.52,3:16.41,3:34.43,3:52.59,4:10.82,4:28.89,4:47.36,5:05.76,5:24.07,5:42.37,6:01.12,6:19.62,6:38.02,6:56.37,7:14.95,7:33.80,7:52.34,8:09.17,8:25.84,8:42.65,8:59.52,9:16.49,9:34.73,9:53.14,10:11.68,10:29.17,10:46.65,11:04.21,11:22.37,11:40.16,11:58.52,12:17.09,12:36.03,12:53.98,13:12.54,13:30.74,13:49.51,14:07.38,14:25.71,14:43.46,15:00.23
