COMP_TYPE,COMP_LOC,YEAR,RACE_DATE,RACE_TEMP,RACE_HUMID,M_W,EVENT,STAGE,RACE_NB,ATHLETE_NAME,ATHLETE_COUNTRY,ATHLETE_AGE,100M,200M,300M,400M,500M,600M,700M,800M
outdoor,Budapest (HUN),2023,22 August 2023,35,37,men,800-metres,heats,1.0,Mateusz BORKOWSKI,POL,26.0,12.78,24.63,38.32,53.06,1:05.03,1:18.25,1:31.85,1:45.40
outdoor,Budapest (HUN),2023,22 August 2023,35,37,men,800-metres,heats,1.0,Max BURGIN,GBR,21.0,12.49,24.33,37.47,50.81,1:04.33,1:17.93,1:31.61,1:45.43
outdoor,Budapest (HUN),2023,22 August 2023,35,37,men,800-metres,heats,1.0,Joseph DENG,AUS,25.0,12.46,24.34,37.59,51.86,1:04.43,1:17.99,1:31.74,1:45.48
outdoor,Budapest (HUN),2023,22 August 2023,35,37,men,800-metres,heats,1.0,Mark ENGLISH,IRL,30.0,12.69,24.62,38.20,51.68,1:05.39,1:18.78,1:32.33,1:45.71
outdoor,Budapest (HUN),2023,22 August 2023,35,37,men,800-metres,heats,1.0,Brad MATHAS,NZL,30.0,13.22,25.74,39.07,52.20,1:05.52,1:18.89,1:32.37,1:45.95
outdoor,Budapest (HUN),2023,22 August 2023,35,37,men,800-metres,heats,1.0,Dániel HULLER,HUN,22.0,12.60,24.37,37.72,50.93,1:04.44,1:18.02,1:32.26,1:47.41
outdoor,Budapest (HUN),2023,22 August 2023,35,37,men,800-metres,heats,1.0,Tom DRADRIGA,UGA,27.0,12.64,24.44,37.69,51.16,1:04.88,1:18.39,1:32.83,1:48.60
outdoor,Budapest (HUN),2023,22 August 2023,35,37,men,800-metres,heats,2.0,Alex Ngeno KIPNGETICH,KEN,23.0,12.63,25.68,40.97,57.61,1:09.69,1:22.37,1:35.01,1:47.63
outdoor,Budapest (HUN),2023,22 August 2023,35,37,men,800-metres,heats,2.0,Djamel SEDJATI,ALG,24.0,13.03,25.78,40.78,55.93,1:09.94,1:22.86,1:35.35,1:47.87
outdoor,Budapest (HUN),2023,22 August 2023,35,37,men,800-metres,heats,2.0,Saúl ORDÓÑEZ,ESP,29.0,12.69,25.45,40.62,55.28,1:09.31,1:22.61,1:35.19,1:47.97
outdoor,Budapest (HUN),2023,22 August 2023,35,37,men,800-metres,heats,2.0,Isaiah HARRIS,USA,27.0,12.63,25.52,40.44,56.08,1:09.76,1:22.64,1:35.25,1:48.00
outdoor,Budapest (HUN),2023,22 August 2023,35,37,men,800-metres,heats,2.0,John FITZSIMONS,IRL,25.0,12.80,25.42,40.36,55.39,1:09.37,1:22.70,1:35.45,1:48.20
outdoor,Budapest (HUN),2023,22 August 2023,35,37,men,800-metres,heats,2.0,Ebrahim ALZOFAIRI,KUW,34.0,12.85,25.91,41.17,58.30,1:10.01,1:23.00,1:36.01,1:48.41
outdoor,Budapest (HUN),2023,22 August 2023,35,37,men,800-metres,heats,2.0,John RIVERA,PUR,25.0,12.77,25.58,40.72,55.61,1:09.42,1:22.56,1:35.29,1:48.83
outdoor,Budapest (HUN),2023,22 August 2023,35,37,men,800-metres,heats,2.0,Amel TUKA,BIH,33.0,12.87,25.68,40.80,55.69,1:09.67,1:23.01,1:35.81,1:49.01
outdoor,Budapest (HUN),2023,22 August 2023,35,37,men,800-metres,heats,2.0,Allan Ngitsi CHIRWA,MAW,28.0,13.07,26.11,41.18,56.03,1:10.08,1:23.62,1:37.41,1:51.62
outdoor,Budapest (HUN),2023,22 August 2023,35,37,men,800-metres,heats,3.0,Adrián BEN,ESP,25.0,13.30,26.01,39.15,52.19,1:05.64,1:18.95,1:32.39,1:45.37
outdoor,Budapest (HUN),2023,22 August 2023,35,37,men,800-metres,heats,3.0,Bryce HOPPEL,USA,26.0,12.71,24.85,37.88,51.20,1:05.19,1:19.02,1:32.29,1:45.56
outdoor,Budapest (HUN),2023,22 August 2023,35,37,men,800-metres,heats,3.0,Daniel ROWDEN,GBR,26.0,12.64,24.73,39.83,51.22,1:05.39,1:19.04,1:32.38,1:45.67
outdoor,Budapest (HUN),2023,22 August 2023,35,37,men,800-metres,heats,3.0,Filip OSTROWSKI,POL,22.0,13.06,25.41,38.34,53.31,1:05.44,1:19.23,1:32.59,1:45.76
outdoor,Budapest (HUN),2023,22 August 2023,35,37,men,800-metres,heats,3.0,Abdullahi HASSAN,CAN,21.0,12.68,25.17,38.28,51.52,1:05.57,1:19.47,1:33.31,1:46.33
outdoor,Budapest (HUN),2023,22 August 2023,35,37,men,800-metres,heats,3.0,Ferguson Cheruiyot ROTICH,KEN,34.0,13.53,26.27,39.31,52.44,1:06.02,1:19.59,1:33.33,1:46.53
outdoor,Budapest (HUN),2023,22 August 2023,35,37,men,800-metres,heats,3.0,Marino BLOUDEK,CRO,24.0,12.89,24.86,38.11,51.26,1:05.20,1:18.77,1:32.42,1:46.63
outdoor,Budapest (HUN),2023,22 August 2023,35,37,men,800-metres,heats,3.0,Ole Jakob SOLBU,NOR,20.0,12.76,24.75,37.56,51.14,1:05.32,1:19.49,1:34.50,1:51.66
outdoor,Budapest (HUN),2023,22 August 2023,35,37,men,800-metres,heats,4.0,Benjamin ROBERT,FRA,26.0,12.90,25.44,40.14,54.04,1:07.74,1:20.95,1:34.11,1:46.45
