COMP_TYPE,COMP_LOC,YEAR,RACE_DATE,RACE_TEMP,RACE_HUMID,M_W,EVENT,STAGE,RACE_NB,ATHLETE_NAME,ATHLETE_COUNTRY,ATHLETE_AGE,REASON
outdoor,Budapest (HUN),2023,19 August 2023,22,88,men,3000-metres-steeplechase,heats,3.0,Lamecha GIRMA,ETH,23.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,22,88,men,3000-metres-steeplechase,heats,3.0,George BEAMISH,NZL,27.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,22,88,men,3000-metres-steeplechase,heats,3.0,Leonard Kipkemoi BETT,KEN,23.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,22,88,men,3000-metres-steeplechase,heats,3.0,Ryuji MIURA,JPN,21.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,22,88,men,3000-metres-steeplechase,heats,3.0,Simon SUNDSTRÖM,SWE,26.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,22,88,men,3000-metres-steeplechase,heats,3.0,Víctor RUIZ,ESP,30.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,22,88,men,3000-metres-steeplechase,heats,3.0,Djilali BEDRANI,FRA,30.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,22,88,men,3000-metres-steeplechase,heats,3.0,Karl BEBENDORF,GER,27.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,22,88,men,3000-metres-steeplechase,heats,3.0,Mohammed MSAAD,MAR,19.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,22,88,men,3000-metres-steeplechase,heats,3.0,Ala ZOGHLAMI,ITA,29.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,22,88,men,3000-metres-steeplechase,heats,3.0,Isaac UPDIKE,USA,31.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,22,88,men,3000-metres-steeplechase,heats,3.0,Fouad IDBAFDIL,ART,36.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,22,88,men,3000-metres-steeplechase,heats,3.0,Julián MOLINA,ARG,30.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,26,65,women,1500-metres,heats,1.0,Nathalie BLOMQVIST,FIN,22.0,Incoherent splits
outdoor,Budapest (HUN),2023,19 August 2023,30,56,women,1500-metres,heats,3.0,Nelly CHEPCHIRCHIR,KEN,20.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,30,56,women,1500-metres,heats,3.0,Sinclaire JOHNSON,USA,25.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,30,56,women,1500-metres,heats,3.0,Birke HAYLOM,ETH,18.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,30,56,women,1500-metres,heats,3.0,Katie SNOWDEN,GBR,29.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,30,56,women,1500-metres,heats,3.0,Marta PÉREZ,ESP,30.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,30,56,women,1500-metres,heats,3.0,Linden HALL,AUS,32.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,30,56,women,1500-metres,heats,3.0,Sintayehu VISSA,ITA,27.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,30,56,women,1500-metres,heats,3.0,Sophie O'SULLIVAN,IRL,22.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,30,56,women,1500-metres,heats,3.0,Kristiina MÄKI,CZE,32.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,30,56,women,1500-metres,heats,3.0,Simone PLOURDE,CAN,23.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,30,56,women,1500-metres,heats,3.0,Eliza MEGGER,POL,24.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,30,56,women,1500-metres,heats,3.0,Yume GOTO,JPN,23.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,30,56,women,1500-metres,heats,3.0,Thi Oanh NGUYEN,VIE,28.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,30,56,women,1500-metres,heats,3.0,Joceline WIND,SUI,23.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,30,52,women,1500-metres,heats,4.0,Hirut MESHESHA,ETH,23.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,30,52,women,1500-metres,heats,4.0,Jessica HULL,AUS,27.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,30,52,women,1500-metres,heats,4.0,Ciara MAGEEAN,IRL,31.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,30,52,women,1500-metres,heats,4.0,Cory Ann MCGEE,USA,31.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,30,52,women,1500-metres,heats,4.0,Adelle TRACEY,JAM,30.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,30,52,women,1500-metres,heats,4.0,Ludovica CAVALLI,ITA,23.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,30,52,women,1500-metres,heats,4.0,Purity CHEPKIRUI,KEN,21.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,30,52,women,1500-metres,heats,4.0,Águeda MARQUÉS,ESP,24.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,30,52,women,1500-metres,heats,4.0,Kate CURRENT,CAN,26.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,30,52,women,1500-metres,heats,4.0,Marta PEN FREITAS,POR,30.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,30,52,women,1500-metres,heats,4.0,Amalie SÆTEN,NOR,26.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,30,52,women,1500-metres,heats,4.0,Winnie NANYONDO,UGA,30.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,30,52,women,1500-metres,heats,4.0,Fedra Aldana LUNA SAMBRAN,ARG,28.0,Missing time split
outdoor,Budapest (HUN),2023,19 August 2023,30,52,women,1500-metres,heats,4.0,Gresa BAKRAÇI,KOS,28.0,Did not finish
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,1.0,Tom ELMER,SUI,26.0,Incoherent splits
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,1.0,Emil DANIELSSON,SWE,26.0,Incoherent splits
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,4.0,Anass ESSAYI,MAR,22.0,Incoherent splits
outdoor,Budapest (HUN),2023,19 August 2023,26,73,women,10000-metres,final,1.0,Sifan HASSAN,NED,31.0,Incoherent splits
outdoor,Budapest (HUN),2023,19 August 2023,26,73,women,10000-metres,final,1.0,Caroline Chepkoech KIPKIRUI,KAZ,29.0,Did not finish
outdoor,Budapest (HUN),2023,20 August 2023,33,46,women,1500-metres,semi-final,1.0,Hirut MESHESHA,ETH,23.0,Missing time split
outdoor,Budapest (HUN),2023,20 August 2023,33,46,women,1500-metres,semi-final,2.0,Gaia SABBATINI,ITA,24.0,Did not finish
outdoor,Budapest (HUN),2023,20 August 2023,32,49,men,10000-metres,final,1.0,Joel AYEKO,UGA,31.0,Did not finish
outdoor,Budapest (HUN),2023,20 August 2023,32,49,men,10000-metres,final,1.0,Carlos Martín DÍAZ DEL,CHI,30.0,Did not finish
outdoor,Budapest (HUN),2023,20 August 2023,32,49,men,10000-metres,final,1.0,Yismaw DILLU,ETH,18.0,Did not finish
outdoor,Budapest (HUN),2023,22 August 2023,35,37,men,800-metres,heats,1.0,Navasky ANDERSON,JAM,24.0,Disqualification
outdoor,Budapest (HUN),2023,22 August 2023,28,55,men,3000-metres-steeplechase,final,1.0,Kenneth ROOKS,USA,24.0,Incoherent splits
outdoor,Budapest (HUN),2023,22 August 2023,28,55,men,3000-metres-steeplechase,final,1.0,Leonard CHEMUTAI,UGA,20.0,Missing time split
outdoor,Budapest (HUN),2023,22 August 2023,28,55,men,3000-metres-steeplechase,final,1.0,Mohamed Amin JHINAOUI,TUN,26.0,Incoherent splits
outdoor,Budapest (HUN),2023,23 August 2023,30,56,women,800-metres,heats,1.0,Keely HODGKINSON,GBR,21.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,30,56,women,800-metres,heats,1.0,Prudence SEKGODISO,RSA,22.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,30,56,women,800-metres,heats,1.0,Eveliina MÄÄTTÄNEN,FIN,28.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,30,56,women,800-metres,heats,1.0,Vivian Chebet KIPROTICH,KEN,28.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,30,56,women,800-metres,heats,1.0,Elena BELLÒ,ITA,27.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,30,56,women,800-metres,heats,1.0,Angelika SARNA,POL,26.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,30,56,women,800-metres,heats,1.0,Lorea IBARZABAL,ESP,29.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,30,56,women,800-metres,heats,1.0,Perina Lokure NAKANG,ART,21.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,30,56,women,800-metres,heats,2.0,Mary MORAA,KEN,23.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,30,56,women,800-metres,heats,2.0,Raevyn ROGERS,USA,27.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,30,56,women,800-metres,heats,2.0,Worknesh MESELE,ETH,22.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,30,56,women,800-metres,heats,2.0,Jazz SHUKLA,CAN,25.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,30,56,women,800-metres,heats,2.0,Eloisa COIRO,ITA,23.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,30,56,women,800-metres,heats,2.0,Gabriela GAJANOVÁ,SVK,24.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,30,56,women,800-metres,heats,2.0,Daniela GARCÍA,ESP,22.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,30,56,women,800-metres,heats,2.0,Margarita KOCZANOWA,POL,25.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,31,54,women,800-metres,heats,3.0,Noélie YARIGO,BEN,38.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,31,54,women,800-metres,heats,3.0,Christina HERING,GER,29.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,31,54,women,800-metres,heats,3.0,Abbey CALDWELL,AUS,22.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,31,54,women,800-metres,heats,3.0,Gabija GALVYDYT Ė,LTU,24.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,31,54,women,800-metres,heats,3.0,Léna KANDISSOUNON,FRA,25.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,31,54,women,800-metres,heats,3.0,Audrey WERRO,SUI,19.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,31,54,women,800-metres,heats,3.0,Naomi KORIR,KEN,25.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,31,54,women,800-metres,heats,3.0,Madeleine KELLY,CAN,28.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,31,54,women,800-metres,heats,4.0,Halimah NAKAAYI,UGA,29.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,31,54,women,800-metres,heats,4.0,Adelle TRACEY,JAM,30.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,31,54,women,800-metres,heats,4.0,Rénelle LAMOTE,FRA,30.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,31,54,women,800-metres,heats,4.0,Claudia Mihaela BOBOCEA,ROU,31.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,31,54,women,800-metres,heats,4.0,Louise SHANAHAN,IRL,27.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,31,54,women,800-metres,heats,4.0,Tigist GIRMA,ETH,21.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,31,54,women,800-metres,heats,4.0,Oratile NOWE,BOT,23.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,31,54,women,800-metres,heats,4.0,Kaela EDWARDS,USA,30.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,31,54,women,800-metres,heats,5.0,Nia AKINS,USA,25.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,31,54,women,800-metres,heats,5.0,Jemma REEKIE,GBR,25.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,31,54,women,800-metres,heats,5.0,Anita HORVAT,SLO,27.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,31,54,women,800-metres,heats,5.0,Bianka KÉRI,HUN,29.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,31,54,women,800-metres,heats,5.0,Rachel PELLAUD,SUI,28.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,31,54,women,800-metres,heats,5.0,Olha LYAKHOVA,UKR,31.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,31,54,women,800-metres,heats,5.0,Ellie SANFORD,AUS,26.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,31,54,women,800-metres,heats,5.0,Patricia SILVA,POR,24.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,32,54,women,800-metres,heats,6.0,Habitam ALEMU,ETH,26.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,32,54,women,800-metres,heats,6.0,Catriona BISSET,AUS,29.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,32,54,women,800-metres,heats,6.0,Flavia Maria DE LIMA,BRA,30.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,32,54,women,800-metres,heats,6.0,Hedda HYNNE,NOR,33.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,32,54,women,800-metres,heats,6.0,Lorena MARTÍN,ESP,27.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,32,54,women,800-metres,heats,6.0,Rose Mary ALMANZA,CUB,31.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,32,54,women,800-metres,heats,6.0,Majtie KOLBERG,GER,24.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,32,54,women,800-metres,heats,6.0,Agnès RAHAROLAHY,FRA,31.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,32,54,women,800-metres,heats,7.0,Athing MU,USA,21.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,32,54,women,800-metres,heats,7.0,Natoya GOULE-TOPPIN,JAM,32.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,32,54,women,800-metres,heats,7.0,Lore HOFFMANN,SUI,27.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,32,54,women,800-metres,heats,7.0,Annemarie NISSEN,DEN,29.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,32,54,women,800-metres,heats,7.0,Assia RAZIKI,MAR,27.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,32,54,women,800-metres,heats,7.0,Isabelle BOFFEY,GBR,23.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,32,54,women,800-metres,heats,7.0,Natal KROL,UKR,29.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,32,54,women,800-metres,heats,7.0,Anna WIELGOSZ,POL,30.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,31,53,women,5000-metres,heats,1.0,Beatrice CHEBET,KEN,23.0,Missing time split
outdoor,Budapest (HUN),2023,23 August 2023,31,53,women,5000-metres,heats,1.0,Sarah CHELANGAT,UGA,22.0,Incoherent splits
outdoor,Budapest (HUN),2023,23 August 2023,31,53,women,5000-metres,heats,1.0,Lauren RYAN,AUS,25.0,Incoherent splits
outdoor,Budapest (HUN),2023,23 August 2023,31,53,women,5000-metres,heats,1.0,Briana SCOTT,CAN,33.0,Incoherent splits
